car_dealership,price,city,brand,model,release_date,type_of_ban,color,distance,gearbox,gear,is_new,views,owners,market,seats,Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası,engine_power,horsepower,fuel,condition_1,condition_2,day,month,year
0,5400.0,Gəncə,Opel,Vectra,1996,Sedan,Ağ,346666,Mexaniki,Ön,0,160,1,Avropa,5,1,1,0,0,0,0,1,0,0,0,0,0,0,1,116,Benzin,0,1,28,5,2023
0,16000.0,Gəncə,Ford,Transit,1998,Furqon,Narıncı,499678,Mexaniki,Arxa,0,267,2,Avropa,3,0,1,0,0,1,0,1,0,0,0,0,0,0,2,76,Dizel,0,0,28,5,2023
0,13800.0,Bakı,Opel,Astra,2005,Universal,Gümüşü,195000,Mexaniki,Ön,0,180,2,Avropa,5,1,1,0,0,1,0,1,0,0,0,0,0,0,1,80,Dizel,0,0,26,5,2023
0,16500.0,Bakı,Mercedes,E 220,2003,Sedan,Göy,330000,Avtomat,Arxa,0,185,2,Avropa,5,1,1,0,1,1,0,1,0,1,0,0,1,0,2,150,Dizel,0,1,28,5,2023
0,12900.0,Bakı,Opel,Astra,2009,Hetçbek,Göy,217000,Mexaniki,Ön,0,2198,1,Avropa,5,1,1,0,0,0,0,1,1,0,0,1,0,1,1,90,Benzin,0,0,27,5,2023
0,16800.0,Bakı,Infiniti,FX35,2007,Offroader / SUV,Qara,252000,Avtomat,Tam,0,5856,2,Rəsmi diler,5,1,1,1,1,1,1,1,1,1,1,1,0,1,3,280,Benzin,0,1,17,5,2023
1,33620.9,Bakı,Infiniti,QX70,2014,Offroader / SUV,Qara,109200,Avtomat,Tam,0,1893,1,Digər,7,1,1,1,1,1,1,1,1,1,1,1,0,1,3,333,Benzin,0,0,27,5,2023
0,50830.0,Bakı,Toyota,Prado,2012,Offroader / SUV,Qara,82000,Avtomat,Tam,0,631,1,Rəsmi diler,7,1,1,0,1,1,1,1,1,1,0,1,0,0,2,167,Benzin,0,0,24,5,2023
0,20850.0,Bakı,Hyundai,Elantra,2011,Sedan,Ağ,202307,Avtomat,Ön,0,3580,2,Avropa,5,1,1,1,1,1,1,1,0,0,0,1,1,0,1,150,Benzin,0,0,26,5,2023
0,13300.0,Bakı,Renault,Grand Scenic,2007,Minivan,Boz,220314,Avtomat,Ön,0,2014,1,Avropa,5,1,1,0,1,1,1,1,0,0,0,0,1,0,1,130,Dizel,0,0,25,5,2023
